Name,U87,U87,U251,U251,hG008,hG008,hG020,hG020,SF126
MT-ND6,8.943519936208466,8.098195298349127,8.908947973980178,8.625204724831994,9.102550534044092,7.8720468827266314,8.891923410078679,8.99723594539198,7.965513032495897
MT-ND5,10.410377147793477,10.332249187506372,10.243435835045718,10.179112900678563,10.676838606474153,10.188897873242189,9.409914878743738,10.328125117621905,10.207392642364757
MT-ND4L,13.51224664282918,13.418933076799686,13.239162910395223,12.991273817259096,13.556026992724677,13.032269623543048,13.073617755061166,14.020745603427079,12.808676652693274
MT-CO3,13.398155807529541,13.48731248968291,12.97624368781686,12.860999643575683,12.931199192111405,12.77839545678747,13.193086386714292,14.165676451994822,12.840305863262254
MT-ATP8,14.623132749134474,14.430766146937039,14.186980834606635,14.098846330836722,14.138367805964492,13.88175446380654,14.139415453845762,15.075612849969174,13.56394698390055
MT-CO2,13.469412880610284,13.488191622777608,12.981156961615584,12.887159676692862,13.247930479507644,13.166851933747251,13.09159075528744,14.05667158079649,12.78510707913808
MT-CO1,13.006906336221,13.057069443039094,12.893972660281932,12.800060644589118,12.489303586496042,12.593001215622573,12.089887394632568,13.070930974826505,12.814229959869365
MT-ND2,11.946109429514635,11.844117269587995,11.299929185630933,11.24478005146837,11.745636512629043,11.101069599788644,11.670718204016879,12.486990844319351,11.590385881912535
MT-ND1,11.681089038541572,11.469015971039399,10.755980797583325,10.837422945543178,11.230290690477897,9.811711844939063,10.829627609200058,11.63787918334064,11.107609414362116
MT-RNR2,10.8069120626463,10.773988086012348,11.16458643181503,10.94606555370746,12.641717613471021,12.155049048326065,11.976657197512385,12.72874534498533,10.843591344456474
MT-RNR1,8.800437257607435,8.898138804416519,9.610070679656792,9.329020414784907,11.662512616565468,10.983257284368383,10.840872317129055,11.20220955019079,8.716356490247978
ENST00000527562.1,0.1265764570133731,0.28789068102136056,0.486451806954972,0.2542578184242533,0.9613840321916454,0.386933418634687,0.5346961291193968,0.5657706787432998,0.37690378732400626
WASH6P,5.231977617105412,5.325508744946597,4.799874769452031,5.080794081958242,5.828997083114849,6.10609701538939,5.629275010779234,5.841817170658319,5.3071880559791085
ENST00000483543.7,0.0,0.14282641761121395,0.13615856755533526,0.2634731588517584,0.43961781885591783,0.42422448264436646,0.11610254566630167,0.2947213113391185,0.11803938684007172
SPRY3,0.6991775848921513,0.7549396519749854,0.5572924443938018,0.47101156835806635,0.7120172659105903,0.5904324356185384,0.5140171953145559,0.421554559189331,1.3357233420900738
